id	solve_rate	solve_rate_en	solve_rate_query	solve_rate_full	solve_rate_full_lang_desc	solve_rate_full_func_desc	n_total	n_en	n_query	n_full	top_error_type	query	ground_truth
multiple_23	54.55	100.00	100.00	28.57	50.00	0.00	11	2	2	7	no_matching_call	What are the current stats for basketball player LeBron James including points per game, assists, and minutes per game.	"[{""basketball.player_stats.get"": {""player_name"": [""LeBron James""], ""stats_fields"": [[""points per game"", ""assists"", ""minutes per game""], [""points per game"", ""minutes per game"", ""assists""], [""assists"", ""points per game"", ""minutes per game""], [""assists"", ""minutes per game"", ""points per game""], [""minutes per game"", ""points per game"", ""assists""], [""minutes per game"", ""assists"", ""points per game""], [""points"", ""assists"", ""minutes""], [""points"", ""minutes"", ""assists""], [""assists"", ""points"", ""minutes""], [""assists"", ""minutes"", ""points""], [""minutes"", ""points"", ""assists""], [""minutes"", ""assists"", ""points""], [""points_per_game"", ""assists"", ""minutes_per_game""], [""points_per_game"", ""minutes_per_game"", ""assists""], [""assists"", ""points_per_game"", ""minutes_per_game""], [""assists"", ""minutes_per_game"", ""points_per_game""], [""minutes_per_game"", ""points_per_game"", ""assists""], [""minutes_per_game"", ""assists"", ""points_per_game""]]}}]"
multiple_24	45.45	100.00	100.00	14.29	0.00	0.00	11	2	2	7	no_matching_call	What is the fastest route from London to Edinburgh for playing a chess championship? Also provide an estimate of the distance.	"[{""route_planner.calculate_route"": {""start"": [""London""], ""destination"": [""Edinburgh""], ""method"": [""fastest"", """"]}}]"
multiple_25	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	What is the cheapest selling price for the game 'Assassins Creed Valhalla' in the PlayStation Store in the United States?	"[{""video_games.store_price"": {""game_title"": [""Assassins Creed Valhalla""], ""platform"": [""PlayStation"", ""PS""], ""region"": [""United States"", ""US"", """"]}}]"
multiple_26	72.73	100.00	100.00	57.14	100.00	50.00	11	2	2	7	no_matching_call	Find out the rewards for playing Fortnite on Playstation platform with different missions and trophies	"[{""game_rewards.get"": {""game"": [""Fortnite""], ""platform"": [""Playstation"", ""PS""], ""mission"": [""""], ""trophy"": [""""]}}]"
multiple_27	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	What is the shortest path from Paris, France to Rome, Italy by using a public transportation?	"[{""maps.shortest_path"": {""start_location"": [""Paris, France"", ""Paris""], ""end_location"": [""Rome, Italy"", ""Rome""], ""mode"": [""transit""]}}]"
multiple_38	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Find a book 'The Alchemist' in the library branches within New York city.	"[{""library.search_book"": {""book_name"": [""The Alchemist""], ""city"": [""New York"", ""New York, NY"", ""New York City"", ""NYC"", ""NY""], ""availability"": ["""", false], ""genre"": [""""]}}]"
multiple_39	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Find a ride from New York to Philadelphia with maximum cost of $50	"[{""ride_hailing.get_rides"": {""source"": [""New York"", ""New York, NY"", ""New York City"", ""NYC"", ""NY""], ""destination"": [""Philadelphia""], ""max_cost"": [50]}}]"
multiple_44	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		How much will I weigh on Mars if my weight on Earth is 70 kg?	"[{""calculate.weight_in_space"": {""weight_earth_kg"": [70], ""planet"": [""Mars""]}}]"
multiple_45	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Calculate how many years ago was the Ice age?	"[{""geology.get_era"": {""era_name"": [""Ice age""], ""calculate_years_ago"": [true]}}]"
multiple_46	54.55	100.00	100.00	28.57	0.00	0.00	11	2	2	7	no_matching_call	Sort this list of names in ascending order: ['Sam', 'Alice', 'Jack']	"[{""sort_list"": {""elements"": [[""Sam"", ""Alice"", ""Jack""]], ""order"": [""asc"", """"]}}]"
multiple_48	63.64	100.00	100.00	42.86	100.00	0.00	11	2	2	7	no_matching_call	Find me a pet-friendly library with facilities for disabled people in New York City.	"[{""library.find_nearby"": {""location"": [""New York City"", ""NYC"", ""New York City, NY""], ""preferences"": [[""Pet-friendly"", ""Disabled Access""], [""Disabled Access"", ""Pet-friendly""]]}}]"
multiple_50	90.91	100.00	100.00	85.71	100.00	100.00	11	2	2	7	no_function_call	Predict the house prices for the next month in New York.	"[{""house_price_forecast"": {""location"": [""New York"", ""New York, NY"", ""NYC"", ""New York City""], ""months"": [1], ""features"": [[], """"]}}]"
multiple_52	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		I have 100 euro. How much is it in USD?	"[{""currency_conversion"": {""amount"": [100], ""from_currency"": [""Euro"", ""EUR""], ""to_currency"": [""USD"", ""US Dollar""]}}]"
multiple_53	54.55	50.00	100.00	42.86	0.00	50.00	11	2	2	7	no_matching_call	Predict the house prices for next 5 years based on interest rates and unemployment rates.	"[{""linear_regression"": {""independent_var"": [[""interest rates"", ""unemployment rates""], [""interest_rate"", ""unemployment_rate""], [""interest rate"", ""unemployment rate""]], ""dependent_var"": [""house_price"", ""house price""], ""forecast_period"": [5]}}]"
multiple_54	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Find out the historical dividend payments of Apple Inc for last five years.	"[{""corporate_finance.dividend_data"": {""company"": [""Apple Inc"", ""Apple"", ""Apple Inc.""], ""years"": [5], ""frequency"": ["""", ""annually""]}}]"
multiple_55	72.73	100.00	100.00	57.14	100.00	50.00	11	2	2	7	no_matching_call	Predict the stock price for Google for the next 3 days.	"[{""stock_forecast"": {""company"": [""Google"", ""GOOG""], ""days"": [3], ""model"": ["""", ""regression""]}}]"
multiple_56	63.64	100.00	100.00	42.86	50.00	100.00	11	2	2	7	no_matching_call	Find the average closing price of Apple stock in the past 60 days	"[{""avg_closing_price"": {""company"": [""Apple""], ""days"": [60], ""data_source"": [""yahoo finance"", """"]}}]"
multiple_58	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Search for divorce law specialists in Los Angeles	"[{""lawyer.search"": {""location"": [""Los Angeles"", ""Los Angeles, CA"", ""LA""], ""expertise"": [""Divorce""]}}]"
multiple_59	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Find lawyers specializing in criminal law near me in New York.	"[{""lawyer_finder"": {""location"": [""New York"", ""New York, NY"", ""NY"", ""New York City"", ""NYC""], ""specialization"": [[""Criminal Law""], [""criminal law""]], ""experience"": ["""", 1]}}]"
multiple_60	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What will be the humidity and temperature for New York City after 7 days?	"[{""humidity_temperature_forecast"": {""location"": [""New York City"", ""NYC""], ""days"": [7]}}]"
multiple_61	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Find a Landscape Architect who is experienced 5 years in small space garden design in Portland	"[{""landscape_architect.find_specialty"": {""location"": [""Portland"", ""Portland, OR""], ""specialization"": [""small space garden design""], ""years_experience"": [5]}}]"
multiple_62	54.55	100.00	100.00	28.57	100.00	0.00	11	2	2	7	no_matching_call	Find me the closest nature park that allows camping and has scenic views in Boston, MA.	"[{""nature_park.find_nearby"": {""location"": [""Boston, MA"", ""Boston""], ""features"": [[""Camping"", ""Scenic View""], [""Scenic View"", ""Camping""]]}}]"
multiple_63	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What will be the air quality index of New York for the next week?	"[{""air_quality_forecast"": {""location"": [""New York"", ""New York, NY"", ""New York City"", ""NYC""], ""days"": [7]}}]"
multiple_64	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Give me the UV index for Tokyo for tomorrow, June01 2023.	"[{""uv_index.get_future"": {""location"": [""Tokyo""], ""date"": [""06-01-2023""]}}]"
multiple_65	45.45	100.00	0.00	42.86	100.00	50.00	11	2	2	7	no_matching_call	Find the distance between New York City and Los Angeles.	"[{""geodistance.find"": {""origin"": [""New York City"", ""NYC""], ""destination"": [""Los Angeles"", ""LA""], ""unit"": [""miles"", """"]}}]"
multiple_66	90.91	100.00	100.00	85.71	100.00	100.00	11	2	2	7	no_matching_call	How much traffic should I expect from Las Vegas to Los Angeles this weekend?	"[{""traffic_estimate"": {""start_location"": [""Las Vegas""], ""end_location"": [""Los Angeles""], ""time_period"": [""weekend""]}}]"
multiple_67	54.55	100.00	100.00	28.57	0.00	100.00	11	2	2	7	no_matching_call	Translate Hello, how are you? from English to French.	"[{""translate"": {""text"": [""Hello, how are you?""], ""source_language"": [""English""], ""target_language"": [""French""]}}]"
multiple_68	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Can I find a historical fiction book at the New York public library?	"[{""library.search_books"": {""location"": [""New York"", ""New York, NY"", ""New York City"", ""New York City, NY"", ""NYC"", ""New York public library""], ""genre"": [""Historical Fiction"", ""historical fiction""], ""title"": [""""]}}]"
multiple_70	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Who were the kings of France during the 18th century?	"[{""european_history.get_monarchs"": {""country"": [""France""], ""century"": [18]}}]"
multiple_71	72.73	100.00	100.00	57.14	100.00	100.00	11	2	2	7	no_matching_call	How many veterans were there in the United States in the year 1954?	"[{""get_population"": {""year"": [1954], ""category"": [""veterans""]}}]"
multiple_72	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What was the population of California in 1970?	"[{""us_history.population_by_state_year"": {""state"": [""California"", ""CA""], ""year"": [1970]}}]"
multiple_73	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Who was the founder of Buddhism and where was it originated?	"[{""religion.get_origin"": {""religion"": [""Buddhism""]}}]"
multiple_74	54.55	100.00	100.00	28.57	50.00	50.00	11	2	2	7	no_matching_call	Find the price of Van Gogh's painting 'Starry Night' on all auction platforms.	"[{""art_auction.fetch_artwork_price"": {""artwork_name"": [""Starry Night""], ""artist"": [""Van Gogh""], ""platform"": [""all"", """"]}}]"
multiple_75	45.45	100.00	100.00	14.29	0.00	50.00	11	2	2	7	no_matching_call	Which paint color is currently most popular for living rooms?	"[{""paint_color.trends"": {""room"": [""living room"", ""Living room""], ""period"": ["""", ""Daily""]}}]"
multiple_76	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	I want to order a custom bronze sculpture of a horse. What material options are available?	"[{""sculpture.create_custom"": {""item"": [""horse"", ""Horse""], ""material"": [""Bronze"", ""bronze""], ""size"": ["""", 12]}}]"
multiple_77	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Search for famous contemporary sculptures in New York.	"[{""artwork_search.find"": {""type"": [""sculpture""], ""location"": [""New York"", ""New York, NY"", ""New York City"", ""NYC""], ""era"": [""contemporary"", """"]}}]"
multiple_78	90.91	100.00	100.00	85.71	100.00	100.00	11	2	2	7	no_matching_call	Get me information about Natural History Museum in London including timings, exhibitions, and accessibility.	"[{""museum_info"": {""museum"": [""Natural History Museum""], ""city"": [""London""], ""features"": [[""timings"", ""exhibitions"", ""accessibility""], [""exhibitions"", ""timings"", ""accessibility""], [""exhibitions"", ""accessibility"", ""timings""], [""accessibility"", ""timings"", ""exhibitions""], [""accessibility"", ""exhibitions"", ""timings""], [""timings"", ""accessibility"", ""exhibitions""]]}}]"
multiple_79	72.73	100.00	100.00	57.14	100.00	0.00	11	2	2	7	no_matching_call	Find art exhibitions for the upcoming month in the Museum of Modern Art, New York.	"[{""exhibition_info"": {""museum_name"": [""Museum of Modern Art"", ""MOMA"", ""Museum of Modern Art, New York""], ""month"": ["""", 1]}}]"
multiple_80	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Find a local guitar shop that also offers violin lessons in Nashville.	"[{""music_shop.find_nearby"": {""location"": [""Nashville, TN"", ""Nashville""], ""services"": [[""Violin Lessons""]], ""instruments"": [[""Guitars""]]}}]"
multiple_81	63.64	100.00	50.00	57.14	100.00	50.00	11	2	2	7	no_matching_call	Book a ticket for the upcoming Eminem concert in New York City, I would like to get the one with backstage access.	"[{""concert.book_ticket"": {""artist"": [""Eminem""], ""location"": [""New York City"", ""NYC""], ""add_ons"": [[""Backstage Pass""]]}}]"
multiple_83	81.82	100.00	100.00	71.43	100.00	100.00	11	2	2	7	no_matching_call	How many goals has Lionel Messi scored for Barcelona till date?	"[{""player_stats.get_all_time_goals"": {""player_name"": [""Lionel Messi""], ""team_name"": [""Barcelona""], ""competition"": [""""]}}]"
multiple_84	63.64	100.00	100.00	42.86	100.00	50.00	11	2	2	7	no_matching_call	Give me the top 10 goal scorers in the UEFA Champions League from Barcelona team.	"[{""getTopGoalScorers"": {""competition"": [""UEFA Champions League""], ""team"": [""Barcelona""], ""number"": [10]}}]"
multiple_85	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Get the soccer scores for Real Madrid games in La Liga for the last 5 rounds.	"[{""soccer_scores.get_scores"": {""team"": [""Real Madrid""], ""league"": [""La Liga""], ""rounds"": [5]}}]"
multiple_86	72.73	100.00	100.00	57.14	50.00	100.00	11	2	2	7	no_matching_call	What are some recommended board games for 2 players and strategy based from store BoardGameGeek?	"[{""BoardGameGeek.recommend"": {""numPlayers"": [2], ""category"": [""strategy""], ""difficulty"": ["""", ""beginner""]}}]"
multiple_87	81.82	100.00	100.00	71.43	100.00	50.00	11	2	2	7	no_matching_call	Find the latest update or patch for the game 'Cyberpunk 2077' on Xbox platform.	"[{""games.update.find"": {""game"": [""Cyberpunk 2077""], ""platform"": [""Xbox""], ""region"": ["""", ""global""]}}]"
multiple_88	90.91	100.00	100.00	85.71	100.00	100.00	11	2	2	7	no_matching_call	Find me the number of active players in the game 'World of Warcraft' in 2020.	"[{""video_games.get_player_count"": {""game_title"": [""World of Warcraft""], ""year"": [2020], ""platform"": ["""", ""PC""]}}]"
multiple_89	81.82	100.00	100.00	71.43	50.00	100.00	11	2	2	7	no_matching_call	Find a healthy lunch recipe under 500 calories that uses chicken and mushrooms.	"[{""recipe_search"": {""ingredients"": [[""chicken"", ""mushrooms""], [""mushrooms"", ""chicken""]], ""calories"": [500], ""meal"": [""lunch"", """"]}}]"
multiple_90	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	I want a seafood restaurant in Seattle that can accommodate a group of 5.	"[{""restaurant.find_group"": {""location"": [""Seattle"", ""Seattle, WA""], ""cuisine"": [[""Seafood""]], ""group_size"": [5]}}]"
multiple_91	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Can I find a good cooking recipe for apple pie using less than 5 ingredients?	"[{""recipe.find"": {""mainIngredient"": [""apple pie"", ""apple""], ""ingredientLimit"": [4]}}]"
multiple_92	54.55	100.00	100.00	28.57	100.00	0.00	11	2	2	7	no_matching_call	Get me a list of available vegetarian and gluten-free foods at the Walmart near Denver.	"[{""walmart.vegan_products"": {""location"": [""Denver, CO"", ""Denver""], ""categories"": [[""vegan"", ""gluten-free""], [""gluten-free"", ""vegan""]]}}]"
multiple_93	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Book a deluxe room for 2 nights at the Marriott hotel in New York and add breakfast as an extra service	"[{""hotel.book"": {""location"": [""New York"", ""New York, NY"", ""NYC""], ""roomType"": [""deluxe"", ""Deluxe""], ""nights"": [2], ""additional_services"": [[""breakfast""]]}}]"
multiple_94	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	I want to book a suite with queen size bed for 3 nights in Hilton New York. Can you find the pricing for me?	"[{""hotel_room_pricing.get"": {""hotelName"": [""Hilton New York""], ""roomType"": [""suite with queen size bed""], ""nights"": [3]}}]"
multiple_95	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Convert 200 euros to US dollars using current exchange rate.	"[{""currency_exchange.convert"": {""amount"": [200], ""from_currency"": [""EUR""], ""to_currency"": [""USD""], ""live_conversion"": [true]}}]"
multiple_97	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What's the area of a circle with a radius of 10?	"[{""geometry.area_circle"": {""radius"": [10], ""units"": ["""", ""meters""]}}]"
multiple_98	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Calculate the circumference of a circle with radius 3	"[{""geometry.circumference"": {""radius"": [3], ""units"": [""cm"", """"]}}]"
multiple_104	72.73	100.00	100.00	57.14	50.00	50.00	11	2	2	7	no_matching_call	Find the shortest driving distance between New York City and Washington D.C.	"[{""get_shortest_driving_distance"": {""origin"": [""New York City"", ""NYC""], ""destination"": [""Washington D.C."", ""D.C."", ""DC""], ""unit"": ["""", ""kilometers""]}}]"
multiple_108	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Calculate the heat capacity at constant pressure for air, given its temperature is 298K and volume is 10 m^3.	"[{""calc_heat_capacity"": {""temp"": [298], ""volume"": [10], ""gas"": [""air"", """"]}}]"
multiple_109	72.73	100.00	100.00	57.14	100.00	50.00	11	2	2	7	no_matching_call	What are the names of proteins found in the plasma membrane?	"[{""cellbio.get_proteins"": {""cell_compartment"": [""plasma membrane""], ""include_description"": [false, """"]}}]"
multiple_110	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Find the type of gene mutation based on SNP (Single Nucleotide Polymorphism) ID rs6034464.	"[{""mutation_type.find"": {""snp_id"": [""rs6034464""], ""species"": [""Homo sapiens"", """"]}}]"
multiple_112	63.64	100.00	100.00	42.86	50.00	50.00	11	2	2	7	no_matching_call	Predict the growth of forest in Yellowstone National Park for the next 5 years including human impact.	"[{""forest_growth_forecast"": {""location"": [""Yellowstone National Park""], ""years"": [5], ""include_human_impact"": [true]}}]"
multiple_114	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Get me the predictions of the evolutionary rate for Homo Sapiens for next 50 years using Darwin model	"[{""prediction.evolution"": {""species"": [""Homo Sapiens"", ""Homo sapiens""], ""years"": [50], ""model"": [""Darwin"", """"]}}]"
multiple_115	27.27	100.00	50.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	I want to find 5 restaurants nearby my location, Manhattan, offering Thai food and a vegan menu.	"[{""find_restaurants"": {""location"": [""Manhattan""], ""food_type"": [""Thai""], ""number"": [5], ""dietary_requirements"": [[""vegan""]]}}]"
multiple_118	63.64	100.00	100.00	42.86	50.00	50.00	11	2	2	7	no_matching_call	Find all movies starring Leonardo DiCaprio in the year 2010 from IMDB database.	"[{""imdb.find_movies_by_actor"": {""actor_name"": [""Leonardo DiCaprio""], ""year"": [2010], ""category"": ["""", ""all""]}}]"
multiple_119	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Find records in database in user table where age is greater than 25 and job is 'engineer'.	"[{""database.query"": {""table"": [""user""], ""conditions"": [[{""field"": [""age""], ""operation"": ["">""], ""value"": [""25""]}, {""field"": [""job""], ""operation"": [""=""], ""value"": [""engineer""]}]]}}]"
multiple_121	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Calculate the area of a triangle with base 6 and height 10.	"[{""geometry.area_triangle"": {""base"": [6], ""height"": [10], ""unit"": ["""", ""square meters""]}}]"
multiple_131	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Find the market performance of the S&P 500 and the Dow Jones over the past 5 days.	"[{""market_performance.get_data"": {""indexes"": [[""S&P 500"", ""Dow Jones""]], ""days"": [5], ""detailed"": ["""", false]}}]"
multiple_134	90.91	100.00	100.00	85.71	100.00	100.00	11	2	2	7	no_matching_call	Look up details of a felony crime record for case number CA123456 in San Diego County	"[{""crime_record.get_record"": {""case_number"": [""CA123456""], ""county"": [""San Diego"", ""San Diego County""], ""details"": [true]}}]"
multiple_135	63.64	100.00	100.00	42.86	100.00	50.00	11	2	2	7	no_matching_call	Who was the victim in the case docket numbered 2022/AL2562 in California?	"[{""get_case_info"": {""docket"": [""2022/AL2562""], ""court"": [""California"", ""CA""], ""info_type"": [""victim""]}}]"
multiple_136	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Provide me the official crime rate of violent crime in San Francisco in 2020.	"[{""get_crime_rate"": {""city"": [""San Francisco"", ""San Francisco, CA"", ""SF""], ""state"": [""California"", ""CA""], ""type"": [""violent"", ""Violent""], ""year"": [2020]}}]"
multiple_137	36.36	100.00	100.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Search for ongoing lawsuits related to the company 'Google' filed after January 1, 2021 in California.	"[{""lawsuit_search"": {""company"": [""Google""], ""start_date"": [""2021-01-01"", ""01/01/2021"", ""Jan.1,2021"", ""January 1, 2021""], ""location"": [""California"", ""CA""], ""status"": [""ongoing"", """"]}}]"
multiple_138	72.73	100.00	50.00	71.43	100.00	100.00	11	2	2	7	no_matching_call	How to obtain the detailed case information of the R vs Adams legal case?	"[{""legal_case.fetch"": {""case_id"": [""R vs Adams"", ""R_vs_Adams""], ""details"": [true]}}]"
multiple_139	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Find details of patent lawsuits involving the company 'Apple Inc.' from the year 2010.	"[{""lawsuit_details.find"": {""company_name"": [""Apple Inc.""], ""year"": [2010], ""case_type"": [""Patent""]}}]"
multiple_140	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Find the lawsuits filed against the company Google in California in the year 2020.	"[{""lawsuits_search"": {""company_name"": [""Google""], ""location"": [""California"", ""CA""], ""year"": [2020], ""case_type"": ["""", ""all""]}}]"
multiple_142	72.73	100.00	100.00	57.14	100.00	50.00	11	2	2	7	no_matching_call	What is the humidity level in Miami, Florida in the upcoming 7 days?	"[{""weather.humidity_forecast"": {""location"": [""Miami"", ""Miami, Florida"", ""FL""], ""days"": [7], ""min_humidity"": ["""", 0]}}]"
multiple_144	72.73	100.00	100.00	57.14	50.00	100.00	11	2	2	7	no_matching_call	What is the air quality index in London 2022/08/16?	"[{""air_quality"": {""location"": [""London""], ""date"": [""2022-08-16"", ""16/08/2022"", ""Aug.16,2022"", ""2022/08/16"", ""16\\08\\2022""]}}]"
multiple_145	72.73	100.00	100.00	57.14	100.00	100.00	11	2	2	7	no_matching_call	How much CO2 is produced annually by a gas-fueled car that travels 12,000 miles per year with fuel efficiency 20 mpg?	"[{""calculate_emissions"": {""distance"": [12000], ""fuel_type"": [""gas"", ""gasoline""], ""fuel_efficiency"": [20], ""efficiency_reduction"": ["""", 0.0]}}]"
multiple_146	54.55	100.00	100.00	28.57	50.00	50.00	11	2	2	7	no_matching_call	Find restaurants near me within 10 miles that offer Chinese cuisine in Seattle.	"[{""restaurant.find_nearby"": {""location"": [""Seattle"", ""Seattle, WA""], ""cuisine"": [""Chinese""], ""max_distance"": [10]}}]"
multiple_147	63.64	100.00	100.00	42.86	50.00	50.00	11	2	2	7	no_matching_call	Get me the directions from New York to Los Angeles avoiding highways and toll roads.	"[{""map_service.get_directions"": {""start"": [""New York"", ""New York, NY"", ""NYC""], ""end"": [""Los Angeles"", ""LA""], ""avoid"": [[""highways"", ""tolls""], [""tolls"", ""highways""]]}}]"
multiple_148	45.45	100.00	100.00	14.29	50.00	0.00	11	2	2	7	no_matching_call	Give me detail information about stocks of Apple Inc.	"[{""get_stock_info"": {""company_name"": [""Apple Inc."", ""Apple""], ""detail_level"": [""detailed""], ""market"": [""NASDAQ"", """"]}}]"
multiple_149	27.27	100.00	50.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Analyze the sentiment of a customer review 'I love the food here! It's always fresh and delicious.'.	"[{""sentiment_analysis"": {""text"": [""I love the food here! It's always fresh and delicious.""], ""language"": [""english"", ""English""]}}]"
multiple_151	27.27	100.00	50.00	0.00	0.00	0.00	11	2	2	7	no_matching_call	Find the most followed person on twitter who tweets about psychology related to behaviour and group dynamics.	"[{""social_media_analytics.most_followed"": {""topic"": [""psychology"", ""Psychology""], ""sub_topics"": [[""behaviour"", ""group dynamics""], [""group dynamics"", ""behaviour""]], ""region"": ["""", ""global""]}}]"
